Bin,BinMean,Count
0.0,1.0,5.0
1.0,1.0,6.0
2.0,1.0,6.0
3.0,1.0,6.0
4.0,1.0,5.0
5.0,1.0,6.0
6.0,1.0,6.0
7.0,1.0,6.0
8.0,1.0,5.0
9.0,1.0,6.0
10.0,1.0,6.0
11.0,1.0,6.0
12.0,1.0,6.0
13.0,1.0,5.0
14.0,1.0,6.0
15.0,1.0,6.0
16.0,1.0,6.0
17.0,1.0,5.0
18.0,1.0,6.0
19.0,1.0,6.0
20.0,1.0,6.0
21.0,1.0,5.0
22.0,1.0,6.0
23.0,1.0,6.0
24.0,1.0,6.0
25.0,1.0,6.0
26.0,1.0,5.0
27.0,1.0,6.0
28.0,1.0,6.0
29.0,1.0,6.0
30.0,1.0,5.0
31.0,1.0,6.0
32.0,1.0,6.0
33.0,1.0,6.0
34.0,1.0,5.0
35.0,1.0,6.0
36.0,1.0,6.0
37.0,1.0,6.0
38.0,1.0,6.0
39.0,1.0,5.0
40.0,1.0,6.0
41.0,1.6666666666666667,6.0
42.0,2.0,6.0
43.0,2.0,5.0
44.0,2.0,6.0
45.0,2.0,6.0
46.0,2.0,6.0
47.0,2.0,5.0
48.0,2.0,6.0
49.0,2.0,6.0
50.0,2.0,6.0
51.0,2.0,6.0
52.0,2.0,5.0
53.0,2.0,6.0
54.0,2.0,6.0
55.0,2.0,6.0
56.0,2.0,5.0
57.0,2.0,6.0
58.0,2.0,6.0
59.0,2.0,6.0
60.0,2.0,5.0
61.0,2.0,6.0
62.0,2.5,6.0
63.0,3.0,6.0
64.0,3.0,6.0
65.0,3.0,5.0
66.0,3.0,6.0
67.0,3.0,6.0
68.0,3.0,6.0
69.0,3.0,5.0
70.0,3.0,6.0
71.0,3.6666666666666665,6.0
72.0,4.0,6.0
73.0,4.0,5.0
74.0,4.0,6.0
75.0,4.0,6.0
76.0,4.0,6.0
77.0,4.5,6.0
78.0,5.0,5.0
79.0,5.0,6.0
80.0,5.0,6.0
81.0,5.5,6.0
82.0,6.0,5.0
83.0,6.5,6.0
84.0,7.0,6.0
85.0,7.5,6.0
86.0,8.6,5.0
87.0,9.0,6.0
88.0,9.833333333333334,6.0
89.0,10.0,6.0
90.0,11.833333333333334,6.0
91.0,12.8,5.0
92.0,14.0,6.0
93.0,16.166666666666668,6.0
94.0,17.5,6.0
95.0,18.2,5.0
96.0,21.166666666666668,6.0
97.0,26.5,6.0
98.0,30.166666666666668,6.0
99.0,40.5,6.0
