SKU_1,SKU_2,#-Containing Orders
9891853,9891854,1880
9891854,9891855,1712
9891854,9891856,1554
9891853,9891855,1501
9891856,9891857,1481
9891855,9891856,1324
9891854,9891857,1111
9891853,9891856,1102
9908177,9908178,1085
9908176,9908178,1027
9908176,9908177,981
9908175,9908176,934
9908178,9908179,909
9891855,9891857,816
9891853,9891857,808
10340028,10340029,802
9908177,9908179,788
9908175,9908178,756
9908175,9908177,746
9908176,9908179,683
11916750,11922878,593
11948342,11948519,590
9891857,9891858,576
11916751,11922879,545
11922323,11922878,516
11054051,11054111,501
9908175,9908179,496
9891855,9891859,488
9891854,9891858,481
11948343,11948520,479
9891854,9891859,465
9891853,9891859,444
11054052,11054112,440
9891856,9891858,429
11922324,11922879,406
9891857,9891859,390
9908177,9908180,386
11060131,11919629,374
11922322,11922877,373
9908179,9908180,371
9891856,9891859,365
9908177,9908181,361
9908178,9908180,356
9891855,9891858,355
11916749,11922877,340
9908178,9908181,311
11060132,11919630,300
9908179,9908181,297
11047548,11713856,295
11916751,11922324,292
11922316,11922878,286
11916750,11922323,283
11922323,12057607,282
9908176,9908180,271
9908180,9908181,271
11916763,11922369,270
9891853,9891858,269
12182862,12182872,265
12182863,12182873,259
9908176,9908181,256
11922878,12057607,252
9891858,9891859,250
11916750,12057607,250
11948519,11948524,245
11047549,11713857,236
11917830,11919273,235
11922878,11922879,226
4267454,8674200,222
10340029,10340030,221
11948342,11948524,218
11948520,11948525,218
11922324,12057608,214
12275145,12275489,212
9908175,9908180,207
11917831,11919274,206
11948342,11948549,206
11922878,12203023,204
9908175,9908181,203
11916751,12057608,195
11901718,11953620,193
11948519,11948549,187
12044638,12276095,183
11916749,11922322,180
10470377,10470378,178
11129976,11130573,175
11922369,11922871,172
11924334,12233320,172
11948343,11948525,172
11054052,11919768,171
11922877,11922878,171
11948342,12158055,169
11916763,11920422,167
11129975,11130572,163
11129975,11131321,163
11948520,11948550,163
11922879,12057608,161
11129976,11131322,157
11919630,11922878,157
11922878,12203037,157
11948342,12158045,157
11948343,11948550,157
11922368,11922369,153
9891856,10433698,152
11916763,11922871,151
11079162,11079163,149
11948343,12158056,149
9891856,11079162,147
11922322,12057606,146
11922877,12057606,146
11948519,12158055,146
11054111,11919767,144
12042325,12042326,144
11047547,11713855,143
11054051,11919767,142
11922879,12203024,142
11948520,12158046,139
11948520,12158056,139
11922368,11922870,138
9891854,10433698,137
11922351,11922352,135
11047548,12008993,134
11924335,12233321,131
9891854,11079162,130
11047549,12008994,130
9891856,11079163,129
11916749,12057606,129
11916763,11920428,129
11922369,11922370,129
12275145,12668653,129
