SKU,Sum,Degrees,DIVISION
9891853,14301,28,APP/FTW
9891854,16177,31,APP/FTW
9891856,15401,28,APP/FTW
9891855,13164,26,APP/FTW
9908177,8392,16,APP/FTW
9908176,6661,13,APP/FTW
9908175,5099,14,APP/FTW
9908178,7149,13,APP/FTW
10340028,4013,14,HDW
11916750,5748,35,APP/FTW
11948342,2130,18,APP/FTW
9891857,11385,27,APP/FTW
11916751,5092,31,APP/FTW
11922323,3783,23,APP/FTW
11054051,2417,25,APP/FTW
11948343,2247,22,APP/FTW
11054052,2651,28,APP/FTW
11922324,2785,18,APP/FTW
11060131,1926,8,APP/FTW
11922322,2105,13,APP/FTW
9908179,4864,12,APP/FTW
11916749,3166,21,APP/FTW
11060132,2435,10,APP/FTW
11047548,4964,40,APP/FTW
11922316,1707,9,APP/FTW
9908180,2955,8,APP/FTW
11916763,1823,17,APP/FTW
12182862,1734,9,APP/FTW
12182863,1964,10,APP/FTW
11922878,13586,50,APP/FTW
9891858,4210,17,APP/FTW
11948519,2138,17,APP/FTW
11047549,5247,43,APP/FTW
11917830,1915,9,APP/FTW
4267454,2327,5,HDW
10340029,6875,31,HDW
11948520,2041,20,APP/FTW
12275145,3855,14,HDW
11917831,1988,9,APP/FTW
11901718,1848,7,APP/FTW
12044638,1739,9,HDW
10470377,2325,4,APP/FTW
11129976,2144,10,APP/FTW
11922369,3401,19,APP/FTW
11924334,2778,14,APP/FTW
11922877,7638,38,APP/FTW
11129975,1752,6,APP/FTW
11922879,10602,37,APP/FTW
11919630,2823,11,APP/FTW
11922368,3228,19,APP/FTW
11079162,1901,10,APP/FTW
11054111,2371,27,APP/FTW
12042325,4207,26,HDW
11047547,2861,22,APP/FTW
11922351,4533,16,APP/FTW
11924335,2714,14,APP/FTW
11047551,2804,18,APP/FTW
11919631,1678,6,APP/FTW
9791879,2187,7,APP/FTW
11919394,3172,18,APP/FTW
10281744,2626,4,APP/FTW
12042411,1732,3,HDW
10327690,3238,3,APP/FTW
11916758,2476,14,APP/FTW
12097333,1817,10,APP/FTW
10024580,1797,12,HDW
11129872,2338,9,APP/FTW
11897181,1809,6,APP/FTW
10340003,1916,7,HDW
11916757,1954,9,APP/FTW
10327691,3358,4,APP/FTW
11054112,3290,32,APP/FTW
12053653,3262,5,APP/FTW
10024593,3427,18,HDW
11054114,1681,16,APP/FTW
11713857,3614,16,APP/FTW
10327692,4792,6,APP/FTW
12053634,3461,6,APP/FTW
12097332,1904,12,APP/FTW
10281745,3708,6,APP/FTW
11713856,3494,18,APP/FTW
11919629,2225,12,APP/FTW
11079163,1820,10,APP/FTW
11897180,1764,7,APP/FTW
10327693,4566,5,APP/FTW
11922370,1721,8,APP/FTW
10432507,1753,2,APP/FTW
10191829,1704,5,APP/FTW
10340008,1875,4,HDW
12042326,3310,9,HDW
11919395,2484,10,APP/FTW
10283402,1971,5,APP/FTW
11922352,5542,18,APP/FTW
11921573,1801,3,APP/FTW
12057607,2178,13,APP/FTW
12275489,2542,7,HDW
10432508,1856,3,APP/FTW
11231927,2804,4,APP/FTW
11922880,3287,10,APP/FTW
12044906,1981,10,HDW
12053635,1976,4,APP/FTW
10327694,4870,4,APP/FTW
11054113,2036,12,APP/FTW
11919393,1813,12,APP/FTW
9891859,4476,17,APP/FTW
11922350,1822,5,APP/FTW
12044640,2460,10,HDW
12053654,2360,4,APP/FTW
4212842,2466,2,APP/FTW
10432509,1714,4,APP/FTW
9791880,1851,7,APP/FTW
11713855,2109,8,APP/FTW
4212843,2287,2,APP/FTW
11111051,2123,16,APP/FTW
11231928,2328,5,APP/FTW
10327695,3503,2,APP/FTW
11231935,1829,3,APP/FTW
9791900,1741,2,APP/FTW
12053638,1785,2,APP/FTW
10281746,2961,6,APP/FTW
11922354,2247,3,APP/FTW
4317988,1802,1,APP/FTW
11079164,1883,10,APP/FTW
10343208,2190,2,APP/FTW
12053636,1853,4,APP/FTW
