,region,value
0,11050,0
1,11385,0
2,92553,2
3,07030,0
4,92620,2
5,14580,0
6,11229,0
7,22191,0
8,55902,1
10,07945,0
13,94105,2
14,19380,0
15,92373,2
16,93620,2
17,95003,2
18,91710,2
19,93063,2
20,29687,0
21,50324,1
22,60077,1
23,20895,0
24,10024,0
25,92804,2
26,32725,0
27,92318,2
28,33510,0
29,11434,0
30,10461,0
31,91913,2
32,91775,2
33,07660,0
34,52404,1
35,55317,1
36,22207,0
37,32819,0
38,11208,0
39,29170,0
40,07670,0
42,60429,1
43,85355,2
44,11235,0
46,33313,0
47,14219,0
48,80538,2
49,23113,0
50,18901,0
51,28625,0
52,92115,2
53,21163,0
54,91406,2
55,73801,1
56,29420,0
57,90230,2
58,11520,0
59,21236,0
60,54011,1
61,91791,2
62,90057,2
63,90035,2
64,48185,0
65,95131,2
66,96145,2
67,76450,1
68,85122,2
69,08050,0
70,11030,0
71,91977,2
72,10472,0
73,97216,2
74,10029,0
75,91326,2
76,68826,1
77,37087,0
78,02155,0
79,90717,2
80,22102,0
81,12831,0
82,56310,1
83,75080,1
84,92055,2
85,91784,2
86,97206,2
87,32824,0
88,30097,0
89,07305,0
90,27614,0
91,11225,0
92,40511,0
93,70114,1
94,92336,2
95,07109,0
96,43147,0
98,90744,2
99,33330,0
101,10452,0
102,06870,0
103,85746,2
104,12411,0
105,53546,1
106,98371,2
108,60646,1
109,95138,2
110,60048,1
111,76049,1
112,94044,2
113,60139,1
114,11379,0
115,60440,1
116,95337,2
117,19128,0
118,32084,0
119,29108,0
120,63043,1
121,78552,1
122,91352,2
123,93291,2
124,01945,0
125,11201,0
126,85257,2
127,91605,2
128,55416,1
129,91790,2
130,67869,1
131,54952,1
132,10990,0
134,40222,0
138,22203,0
144,83864,2
147,46040,0
148,11356,0
149,92234,2
152,77407,1
154,50158,1
155,98363,2
156,91723,2
158,33149,0
160,07059,0
161,11572,0
164,07067,0
165,97209,2
166,98198,2
167,80211,2
168,30517,0
169,31047,0
172,94578,2
173,11596,0
175,98245,2
176,60628,1
177,85234,2
179,90046,2
180,94402,2
182,76262,1
183,44118,0
184,33326,0
187,60174,1
188,91364,2
189,07728,0
190,11236,0
191,45209,0
192,63109,1
193,11357,0
195,92617,2
196,11212,0
197,77584,1
198,33131,0
199,84102,2
200,62644,1
202,11205,0
204,94530,2
205,07090,0
207,21009,0
209,23703,0
210,80023,2
211,11717,0
212,33437,0
213,94002,2
214,10006,0
215,06511,0
216,07417,0
217,93311,2
218,10038,0
219,98107,2
220,37919,0
221,85719,2
222,92127,2
223,11373,0
224,13090,0
225,95834,2
226,22041,0
227,91606,2
228,70001,1
229,92683,2
230,28314,0
231,80016,2
232,91384,2
233,92806,2
234,97218,2
235,60620,1
236,96706,2
237,97008,2
239,11204,0
240,92618,2
241,92843,2
242,77055,1
243,10312,0
244,11233,0
246,11234,0
247,07666,0
249,91750,2
250,98030,2
251,94539,2
252,77375,1
254,60115,1
255,33122,0
256,92604,2
257,11207,0
258,07013,0
259,03455,0
260,51501,1
261,91351,2
262,35756,0
263,33147,0
264,76548,1
265,96817,2
266,90630,2
267,33919,0
268,77079,1
269,94134,2
270,33487,0
271,01028,0
272,84009,2
273,29605,0
274,79347,1
275,44406,0
276,77433,1
277,32218,0
278,94561,2
279,90232,2
280,94538,2
281,33032,0
282,92646,2
283,10314,0
284,63122,1
285,33637,0
286,20017,0
