,SKU_1,SKU_2,#-Containing Orders,#-Completing Orders
0,9713295,3895961,1,0.0
1,9713295,3895962,1,0.0
2,9713295,3895964,1,0.0
3,9713295,3985586,1,0.0
4,9713295,3985591,1,0.0
5,9713295,3985593,2,0.0
6,9713295,3991246,1,0.0
7,9713295,4212842,1,0.0
8,9713295,4212843,1,0.0
9,9713295,4212845,1,0.0
10,9713295,4213598,1,0.0
11,9713295,4213600,1,0.0
12,9713295,4213602,2,0.0
13,9713295,4267454,3,0.0
14,9713295,4303071,1,0.0
15,9713295,4317987,1,0.0
16,9713295,4935261,1,0.0
17,9713295,5855804,1,0.0
18,9713295,6408956,1,0.0
19,9713295,7888078,1,0.0
20,9713295,8088482,2,0.0
21,9713295,8088600,2,0.0
22,9713295,8089063,2,0.0
23,9713295,8187414,4,0.0
24,9713295,8430116,1,0.0
25,9713295,8674170,1,0.0
26,9713295,8697401,3,0.0
27,9713295,8697404,1,0.0
28,9713295,8740239,1,0.0
29,9713295,8996239,2,0.0
30,9713295,8996240,3,0.0
31,9713295,8996248,2,0.0
32,9713295,9009644,1,0.0
33,9713295,9009661,1,0.0
34,9713295,9009696,1,0.0
35,9713295,9764846,2,0.0
36,9713295,9764933,2,0.0
37,9713295,9764965,2,0.0
38,9713295,9809346,1,0.0
39,9713295,9908181,1,0.0
40,9713295,10010601,1,0.0
41,9713295,10010610,3,0.0
42,9713295,10024593,1,0.0
43,9713295,10203300,1,0.0
44,9713295,10256279,1,0.0
45,9713295,10283518,1,0.0
46,9713295,10283519,1,0.0
47,9713295,10283539,1,0.0
48,9713295,10283544,1,0.0
49,9713295,10292740,1,0.0
50,9713295,10340008,6,0.0
51,9713295,10340028,2,0.0
52,9713295,10340029,4,4.0
53,9713295,10340067,1,0.0
54,9713295,10340068,1,0.0
55,9713295,10340134,6,0.0
56,9713295,10340137,1,0.0
57,9713295,10340139,6,0.0
58,9713295,10343197,1,0.0
59,9713295,10343208,1,0.0
60,9713295,10343210,1,0.0
61,9713295,10343211,1,0.0
62,9713295,10343212,1,0.0
63,9713295,10439988,1,0.0
64,9713295,10559145,1,0.0
65,9713295,10722628,1,0.0
66,9713295,10722634,1,0.0
67,9713295,10732423,1,0.0
68,9713295,10755462,1,0.0
69,9713295,10834224,2,0.0
70,9713295,10834225,1,0.0
71,9713295,10834842,2,0.0
72,9713295,10952172,12,0.0
73,9713295,10952498,3,0.0
74,9713295,10952499,1,0.0
75,9713295,10952892,1,0.0
76,9713295,10952894,1,0.0
77,9713295,10953181,1,0.0
78,9713295,10953406,3,0.0
79,9713295,10953409,1,0.0
80,9713295,10976776,1,0.0
81,9713295,10992007,1,0.0
82,9713295,10992008,1,0.0
83,9713295,11028719,1,0.0
84,9713295,11047548,2,0.0
85,9713295,11047549,1,0.0
86,9713295,11047551,1,0.0
87,9713295,11047562,1,0.0
88,9713295,11054050,1,0.0
89,9713295,11054053,1,0.0
90,9713295,11054111,1,0.0
91,9713295,11054112,2,0.0
92,9713295,11054113,2,0.0
93,9713295,11054114,1,0.0
94,9713295,11061841,1,0.0
95,9713295,11064962,1,0.0
96,9713295,11093023,1,0.0
97,9713295,11099509,1,0.0
98,9713295,11100382,1,0.0
99,9713295,11108634,1,0.0
100,9713295,11109812,1,0.0
101,9713295,11110498,1,0.0
102,9713295,11110499,1,0.0
103,9713295,11111051,3,0.0
104,9713295,11111052,1,0.0
105,9713295,11116368,1,0.0
106,9713295,11116642,3,0.0
107,9713295,11116961,2,0.0
108,9713295,11116963,1,0.0
109,9713295,11116964,1,0.0
110,9713295,11127225,1,0.0
111,9713295,11127227,1,0.0
112,9713295,11127361,1,0.0
113,9713295,11127673,1,0.0
114,9713295,11127674,2,0.0
115,9713295,11128668,1,0.0
116,9713295,11128674,1,0.0
117,9713295,11128676,1,0.0
118,9713295,11128972,3,0.0
119,9713295,11128973,2,0.0
120,9713295,11128974,1,0.0
121,9713295,11128979,2,0.0
122,9713295,11128980,1,0.0
123,9713295,11129021,1,0.0
124,9713295,11129242,1,0.0
125,9713295,11129251,1,0.0
126,9713295,11129866,2,0.0
127,9713295,11129867,1,0.0
128,9713295,11129871,3,0.0
129,9713295,11129872,2,0.0
130,9713295,11129873,2,0.0
131,9713295,11129975,1,0.0
132,9713295,11129976,2,0.0
133,9713295,11129977,2,0.0
134,9713295,11130572,3,0.0
135,9713295,11130573,2,0.0
136,9713295,11130574,1,0.0
137,9713295,11146603,1,0.0
138,9713295,11180358,1,0.0
139,9713295,11180417,1,0.0
140,9713295,11180433,1,0.0
141,9713295,11180476,1,0.0
142,9713295,11181624,1,0.0
143,9713295,11205433,1,0.0
144,9713295,11206377,2,0.0
145,9713295,11236308,1,0.0
146,9713295,11236357,1,0.0
147,9713295,11236363,1,0.0
148,9713295,11236365,1,0.0
149,9713295,11238289,1,0.0
150,9713295,11311025,1,0.0
151,9713295,11311029,1,0.0
152,9713295,11316165,1,0.0
153,9713295,11316221,1,0.0
154,9713295,11362276,1,0.0
155,9713295,11362478,1,0.0
156,9713295,11362583,2,0.0
157,9713295,11385248,1,0.0
158,9713295,11442920,1,0.0
