Bin,BinMean,Count
0.0,108.6,5.0
1.0,140.83333333333334,6.0
2.0,166.66666666666666,6.0
3.0,182.66666666666666,6.0
4.0,204.8,5.0
5.0,223.16666666666666,6.0
6.0,235.83333333333334,6.0
7.0,244.5,6.0
8.0,256.8,5.0
9.0,277.0,6.0
10.0,294.8333333333333,6.0
11.0,307.3333333333333,6.0
12.0,324.5,6.0
13.0,341.4,5.0
14.0,350.3333333333333,6.0
15.0,358.8333333333333,6.0
16.0,371.0,6.0
17.0,391.6,5.0
18.0,405.6666666666667,6.0
19.0,417.0,6.0
20.0,441.3333333333333,6.0
21.0,452.2,5.0
22.0,461.5,6.0
23.0,469.8333333333333,6.0
24.0,479.5,6.0
25.0,492.3333333333333,6.0
26.0,506.0,5.0
27.0,520.1666666666666,6.0
28.0,533.0,6.0
29.0,553.1666666666666,6.0
30.0,561.2,5.0
31.0,573.5,6.0
32.0,592.8333333333334,6.0
33.0,608.6666666666666,6.0
34.0,620.2,5.0
35.0,627.5,6.0
36.0,641.0,6.0
37.0,657.8333333333334,6.0
38.0,666.0,6.0
39.0,677.8,5.0
40.0,697.8333333333334,6.0
41.0,721.1666666666666,6.0
42.0,734.3333333333334,6.0
43.0,753.6,5.0
44.0,775.8333333333334,6.0
45.0,793.6666666666666,6.0
46.0,811.8333333333334,6.0
47.0,841.0,5.0
48.0,857.1666666666666,6.0
49.0,871.5,6.0
50.0,884.8333333333334,6.0
51.0,896.5,6.0
52.0,902.4,5.0
53.0,916.3333333333334,6.0
54.0,932.8333333333334,6.0
55.0,945.1666666666666,6.0
56.0,956.4,5.0
57.0,966.0,6.0
58.0,990.5,6.0
59.0,1005.8333333333334,6.0
60.0,1023.6,5.0
61.0,1054.0,6.0
62.0,1099.5,6.0
63.0,1134.0,6.0
64.0,1165.5,6.0
65.0,1192.0,5.0
66.0,1227.1666666666667,6.0
67.0,1273.0,6.0
68.0,1316.0,6.0
69.0,1371.4,5.0
70.0,1420.5,6.0
71.0,1446.0,6.0
72.0,1474.0,6.0
73.0,1543.8,5.0
74.0,1602.3333333333333,6.0
75.0,1625.3333333333333,6.0
76.0,1678.3333333333333,6.0
77.0,1721.5,6.0
78.0,1747.8,5.0
79.0,1788.3333333333333,6.0
80.0,1817.3333333333333,6.0
81.0,1845.5,6.0
82.0,1895.6,5.0
83.0,1951.1666666666667,6.0
84.0,2012.6666666666667,6.0
85.0,2115.6666666666665,6.0
86.0,2184.8,5.0
87.0,2293.5,6.0
88.0,2396.8333333333335,6.0
89.0,2500.8333333333335,6.0
90.0,2726.3333333333335,6.0
91.0,2871.0,5.0
92.0,3171.1666666666665,6.0
93.0,3345.5,6.0
94.0,3553.0,6.0
95.0,4013.6,5.0
96.0,4683.5,6.0
97.0,5282.0,6.0
98.0,7886.166666666667,6.0
99.0,14002.333333333334,6.0
