,1174,1176,1173,46147,1175,1177,103762,103772,46148,876,n_rest,total
1/1/2017,2.0,2.0,1.0,23.0,2.0,4.0,0.0,0.0,10.0,1.0,6305.0,6350.0
1/2/2017,4.0,1.0,0.0,26.0,0.0,2.0,0.0,0.0,17.0,2.0,8180.0,8232.0
1/3/2017,2.0,3.0,0.0,17.0,4.0,1.0,0.0,0.0,19.0,1.0,13713.0,13760.0
1/4/2017,1.0,1.0,3.0,16.0,2.0,3.0,0.0,0.0,17.0,0.0,9769.0,9812.0
1/5/2017,0.0,4.0,2.0,20.0,1.0,2.0,0.0,0.0,18.0,0.0,10723.0,10770.0
1/6/2017,5.0,2.0,6.0,13.0,6.0,1.0,0.0,0.0,13.0,0.0,8562.0,8608.0
1/7/2017,6.0,4.0,5.0,19.0,4.0,0.0,0.0,0.0,14.0,1.0,6888.0,6941.0
1/8/2017,4.0,2.0,2.0,23.0,0.0,0.0,0.0,0.0,21.0,1.0,7131.0,7184.0
1/9/2017,3.0,2.0,2.0,28.0,1.0,0.0,0.0,0.0,4.0,2.0,7017.0,7059.0
1/10/2017,1.0,4.0,4.0,13.0,7.0,6.0,0.0,0.0,15.0,0.0,7537.0,7587.0
1/11/2017,0.0,2.0,0.0,24.0,3.0,2.0,0.0,0.0,17.0,2.0,9027.0,9077.0
1/12/2017,1.0,1.0,2.0,22.0,2.0,1.0,0.0,0.0,23.0,0.0,11545.0,11597.0
1/13/2017,2.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0,8177.0,8219.0
1/14/2017,2.0,0.0,0.0,21.0,0.0,1.0,0.0,0.0,12.0,0.0,25717.0,25753.0
1/15/2017,2.0,1.0,0.0,29.0,2.0,1.0,0.0,0.0,21.0,0.0,7310.0,7366.0
1/16/2017,2.0,1.0,2.0,20.0,2.0,0.0,0.0,0.0,21.0,1.0,7351.0,7400.0
1/17/2017,2.0,1.0,3.0,25.0,2.0,0.0,0.0,0.0,21.0,0.0,6950.0,7004.0
1/18/2017,2.0,0.0,3.0,20.0,2.0,3.0,0.0,0.0,13.0,1.0,9388.0,9432.0
1/19/2017,1.0,2.0,1.0,20.0,2.0,0.0,0.0,0.0,14.0,0.0,8530.0,8570.0
1/20/2017,1.0,10.0,0.0,13.0,3.0,0.0,0.0,0.0,9.0,1.0,6259.0,6296.0
1/21/2017,0.0,1.0,1.0,19.0,5.0,3.0,0.0,0.0,13.0,0.0,4184.0,4226.0
1/22/2017,0.0,0.0,0.0,26.0,2.0,2.0,0.0,0.0,26.0,1.0,9116.0,9173.0
1/23/2017,5.0,4.0,4.0,30.0,13.0,7.0,0.0,0.0,14.0,1.0,9359.0,9437.0
1/24/2017,3.0,0.0,1.0,27.0,5.0,0.0,0.0,0.0,24.0,0.0,8245.0,8305.0
1/25/2017,1.0,10.0,2.0,21.0,4.0,9.0,0.0,0.0,18.0,1.0,12170.0,12236.0
1/26/2017,2.0,1.0,1.0,36.0,0.0,0.0,0.0,0.0,20.0,0.0,19584.0,19644.0
1/27/2017,0.0,1.0,0.0,17.0,1.0,0.0,0.0,0.0,11.0,1.0,10280.0,10311.0
1/28/2017,1.0,0.0,1.0,22.0,1.0,0.0,0.0,0.0,12.0,0.0,9888.0,9925.0
1/29/2017,2.0,2.0,1.0,27.0,11.0,1.0,0.0,0.0,19.0,1.0,8649.0,8713.0
1/30/2017,4.0,1.0,0.0,20.0,4.0,0.0,0.0,0.0,17.0,0.0,7154.0,7200.0
1/31/2017,3.0,3.0,4.0,19.0,1.0,1.0,0.0,0.0,12.0,1.0,7880.0,7924.0
2/1/2017,1.0,1.0,2.0,29.0,1.0,2.0,0.0,0.0,11.0,0.0,19486.0,19533.0
2/2/2017,1.0,1.0,0.0,29.0,0.0,2.0,0.0,0.0,27.0,1.0,11007.0,11068.0
2/3/2017,0.0,2.0,6.0,22.0,1.0,1.0,0.0,0.0,15.0,1.0,9984.0,10032.0
2/4/2017,1.0,0.0,1.0,16.0,1.0,1.0,0.0,0.0,11.0,0.0,30949.0,30980.0
2/5/2017,0.0,1.0,1.0,36.0,2.0,3.0,0.0,0.0,28.0,0.0,23932.0,24003.0
2/6/2017,9.0,2.0,3.0,34.0,1.0,2.0,0.0,0.0,27.0,2.0,11729.0,11809.0
2/7/2017,3.0,4.0,2.0,17.0,5.0,1.0,0.0,0.0,11.0,1.0,7223.0,7267.0
2/8/2017,2.0,2.0,3.0,46.0,0.0,0.0,0.0,0.0,35.0,0.0,12502.0,12590.0
2/9/2017,6.0,1.0,5.0,27.0,5.0,0.0,0.0,0.0,17.0,0.0,10620.0,10681.0
2/10/2017,5.0,2.0,2.0,32.0,1.0,0.0,0.0,0.0,9.0,0.0,8991.0,9042.0
2/11/2017,2.0,1.0,3.0,38.0,0.0,2.0,0.0,0.0,10.0,0.0,31194.0,31250.0
2/12/2017,1.0,1.0,3.0,33.0,3.0,1.0,0.0,0.0,22.0,0.0,8455.0,8519.0
2/13/2017,1.0,2.0,2.0,30.0,1.0,2.0,0.0,0.0,18.0,0.0,10220.0,10276.0
2/14/2017,1.0,1.0,1.0,22.0,3.0,1.0,0.0,0.0,19.0,2.0,8182.0,8232.0
2/15/2017,1.0,2.0,0.0,25.0,2.0,1.0,0.0,0.0,18.0,1.0,9326.0,9376.0
2/16/2017,3.0,3.0,2.0,30.0,6.0,1.0,0.0,0.0,19.0,0.0,11334.0,11398.0
2/17/2017,2.0,5.0,1.0,12.0,3.0,3.0,0.0,0.0,7.0,1.0,12277.0,12311.0
2/18/2017,2.0,0.0,3.0,26.0,5.0,0.0,0.0,0.0,12.0,0.0,8641.0,8689.0
2/19/2017,5.0,3.0,3.0,22.0,2.0,1.0,0.0,0.0,23.0,0.0,8474.0,8533.0
2/20/2017,3.0,1.0,1.0,27.0,0.0,6.0,0.0,0.0,21.0,2.0,10458.0,10519.0
2/21/2017,3.0,2.0,2.0,34.0,4.0,2.0,0.0,0.0,18.0,0.0,8881.0,8946.0
2/22/2017,1.0,0.0,6.0,25.0,1.0,0.0,0.0,0.0,21.0,1.0,14693.0,14748.0
2/23/2017,3.0,2.0,4.0,20.0,0.0,3.0,0.0,0.0,15.0,0.0,12830.0,12877.0
2/24/2017,4.0,3.0,4.0,16.0,2.0,2.0,0.0,0.0,21.0,0.0,23914.0,23966.0
2/25/2017,11.0,10.0,6.0,33.0,9.0,2.0,0.0,0.0,19.0,1.0,14859.0,14950.0
2/26/2017,4.0,4.0,4.0,40.0,8.0,1.0,0.0,0.0,29.0,0.0,11414.0,11504.0
2/27/2017,3.0,5.0,6.0,41.0,8.0,4.0,0.0,0.0,29.0,0.0,10702.0,10798.0
2/28/2017,1.0,1.0,5.0,42.0,4.0,1.0,0.0,0.0,26.0,1.0,10633.0,10714.0
3/1/2017,2.0,2.0,4.0,26.0,2.0,2.0,0.0,0.0,23.0,0.0,28827.0,28888.0
3/2/2017,4.0,3.0,1.0,41.0,2.0,4.0,0.0,0.0,16.0,0.0,13308.0,13379.0
3/3/2017,0.0,2.0,0.0,17.0,3.0,2.0,0.0,0.0,21.0,0.0,11389.0,11434.0
3/4/2017,3.0,1.0,2.0,23.0,1.0,1.0,0.0,0.0,15.0,2.0,10287.0,10335.0
3/5/2017,2.0,3.0,1.0,41.0,2.0,0.0,0.0,0.0,25.0,0.0,10620.0,10694.0
3/6/2017,2.0,1.0,4.0,21.0,2.0,1.0,0.0,0.0,27.0,0.0,10586.0,10644.0
3/7/2017,0.0,1.0,2.0,21.0,2.0,0.0,0.0,0.0,15.0,1.0,10279.0,10321.0
3/8/2017,5.0,1.0,1.0,40.0,2.0,4.0,0.0,0.0,18.0,2.0,11468.0,11541.0
3/9/2017,3.0,3.0,1.0,19.0,1.0,3.0,0.0,0.0,18.0,3.0,12718.0,12769.0
3/10/2017,3.0,0.0,1.0,16.0,0.0,2.0,0.0,0.0,16.0,0.0,12529.0,12567.0
3/11/2017,2.0,4.0,2.0,19.0,2.0,1.0,0.0,0.0,17.0,0.0,9587.0,9634.0
3/12/2017,0.0,2.0,1.0,30.0,4.0,1.0,0.0,0.0,22.0,1.0,9323.0,9384.0
3/13/2017,3.0,6.0,3.0,27.0,1.0,2.0,0.0,0.0,14.0,1.0,9463.0,9520.0
3/14/2017,4.0,4.0,2.0,28.0,1.0,1.0,0.0,0.0,25.0,5.0,9708.0,9778.0
3/15/2017,3.0,3.0,3.0,16.0,2.0,3.0,0.0,0.0,24.0,0.0,9282.0,9336.0
3/16/2017,3.0,1.0,1.0,30.0,5.0,2.0,0.0,0.0,15.0,1.0,10039.0,10097.0
3/17/2017,4.0,0.0,0.0,24.0,1.0,0.0,0.0,0.0,19.0,1.0,8599.0,8648.0
3/18/2017,3.0,1.0,2.0,18.0,4.0,2.0,0.0,0.0,12.0,0.0,7522.0,7564.0
3/19/2017,0.0,1.0,4.0,28.0,5.0,1.0,0.0,0.0,9.0,0.0,9032.0,9080.0
3/20/2017,2.0,2.0,4.0,29.0,1.0,0.0,0.0,0.0,21.0,0.0,10297.0,10356.0
3/21/2017,1.0,3.0,6.0,24.0,4.0,0.0,0.0,0.0,18.0,0.0,9011.0,9067.0
3/22/2017,4.0,6.0,1.0,33.0,3.0,3.0,0.0,0.0,20.0,0.0,23190.0,23260.0
3/23/2017,2.0,5.0,0.0,36.0,2.0,5.0,0.0,0.0,22.0,0.0,23462.0,23534.0
3/24/2017,4.0,5.0,8.0,164.0,2.0,3.0,0.0,0.0,110.0,2.0,24145.0,24443.0
3/25/2017,2.0,3.0,4.0,24.0,0.0,0.0,0.0,0.0,26.0,0.0,24965.0,25024.0
3/26/2017,15.0,13.0,8.0,39.0,14.0,11.0,0.0,0.0,21.0,0.0,12059.0,12180.0
3/27/2017,11.0,11.0,9.0,31.0,6.0,4.0,0.0,0.0,18.0,0.0,11458.0,11548.0
3/28/2017,11.0,20.0,12.0,25.0,20.0,13.0,0.0,0.0,22.0,1.0,12045.0,12169.0
3/29/2017,8.0,6.0,3.0,12.0,5.0,5.0,0.0,0.0,22.0,1.0,8585.0,8647.0
3/30/2017,6.0,9.0,6.0,32.0,5.0,3.0,0.0,0.0,20.0,0.0,10881.0,10962.0
3/31/2017,45.0,20.0,19.0,26.0,26.0,9.0,0.0,0.0,6.0,1.0,14959.0,15111.0
4/1/2017,40.0,37.0,28.0,22.0,29.0,18.0,0.0,0.0,11.0,1.0,12452.0,12638.0
4/2/2017,18.0,12.0,17.0,28.0,11.0,4.0,0.0,0.0,15.0,1.0,11416.0,11522.0
4/3/2017,15.0,16.0,7.0,20.0,8.0,11.0,0.0,0.0,19.0,2.0,10996.0,11094.0
4/4/2017,14.0,13.0,17.0,32.0,11.0,8.0,0.0,0.0,22.0,0.0,10682.0,10799.0
4/5/2017,14.0,13.0,15.0,24.0,11.0,8.0,0.0,0.0,18.0,1.0,11640.0,11744.0
4/6/2017,18.0,4.0,24.0,21.0,17.0,4.0,0.0,0.0,12.0,2.0,38227.0,38329.0
4/7/2017,19.0,12.0,16.0,19.0,10.0,4.0,0.0,0.0,10.0,0.0,15173.0,15263.0
4/8/2017,19.0,15.0,7.0,25.0,11.0,10.0,0.0,0.0,14.0,1.0,12454.0,12556.0
4/9/2017,14.0,8.0,19.0,17.0,15.0,16.0,0.0,0.0,16.0,1.0,11182.0,11288.0
4/10/2017,83.0,89.0,68.0,22.0,69.0,54.0,0.0,0.0,9.0,1.0,10619.0,11014.0
4/11/2017,297.0,208.0,209.0,22.0,268.0,154.0,0.0,0.0,18.0,1.0,12361.0,13538.0
4/12/2017,275.0,248.0,256.0,17.0,243.0,166.0,0.0,0.0,14.0,0.0,11671.0,12890.0
4/13/2017,287.0,230.0,208.0,15.0,245.0,148.0,0.0,0.0,9.0,0.0,10769.0,11911.0
4/14/2017,264.0,230.0,229.0,18.0,221.0,146.0,0.0,0.0,9.0,1.0,12082.0,13200.0
4/15/2017,197.0,182.0,173.0,23.0,174.0,129.0,0.0,0.0,12.0,0.0,11254.0,12144.0
4/16/2017,152.0,140.0,120.0,21.0,136.0,109.0,0.0,0.0,20.0,0.0,9790.0,10488.0
4/17/2017,145.0,136.0,134.0,17.0,139.0,97.0,0.0,0.0,12.0,3.0,10994.0,11677.0
4/18/2017,173.0,167.0,172.0,20.0,138.0,112.0,0.0,0.0,7.0,1.0,10891.0,11681.0
4/19/2017,179.0,159.0,163.0,16.0,155.0,104.0,0.0,0.0,11.0,0.0,10762.0,11549.0
4/20/2017,179.0,154.0,134.0,17.0,139.0,118.0,0.0,0.0,19.0,0.0,23187.0,23947.0
4/21/2017,144.0,113.0,103.0,26.0,89.0,80.0,0.0,0.0,6.0,1.0,12189.0,12751.0
4/22/2017,151.0,143.0,139.0,8.0,147.0,72.0,0.0,0.0,15.0,1.0,11149.0,11825.0
4/23/2017,153.0,111.0,86.0,16.0,114.0,75.0,0.0,0.0,13.0,1.0,10176.0,10745.0
4/24/2017,186.0,91.0,217.0,13.0,102.0,56.0,0.0,0.0,13.0,0.0,10036.0,10714.0
4/25/2017,149.0,69.0,184.0,30.0,112.0,57.0,0.0,0.0,13.0,1.0,8366.0,8981.0
4/26/2017,198.0,124.0,219.0,34.0,149.0,79.0,0.0,0.0,11.0,2.0,16748.0,17564.0
4/27/2017,92.0,101.0,100.0,14.0,64.0,54.0,0.0,0.0,14.0,3.0,18314.0,18756.0
4/28/2017,71.0,61.0,77.0,10.0,78.0,51.0,0.0,0.0,8.0,1.0,14769.0,15126.0
4/29/2017,53.0,81.0,47.0,16.0,57.0,41.0,0.0,0.0,12.0,0.0,38306.0,38613.0
4/30/2017,110.0,47.0,95.0,27.0,78.0,26.0,0.0,0.0,11.0,0.0,25818.0,26212.0
5/1/2017,165.0,45.0,146.0,12.0,120.0,30.0,0.0,0.0,27.0,1.0,12924.0,13470.0
5/2/2017,127.0,95.0,116.0,17.0,104.0,56.0,0.0,0.0,5.0,0.0,11643.0,12163.0
5/3/2017,171.0,88.0,134.0,8.0,127.0,49.0,0.0,0.0,17.0,0.0,10957.0,11551.0
5/4/2017,98.0,75.0,87.0,15.0,109.0,48.0,0.0,0.0,13.0,0.0,12139.0,12584.0
5/5/2017,164.0,132.0,125.0,16.0,126.0,89.0,0.0,0.0,14.0,0.0,11763.0,12429.0
5/6/2017,210.0,78.0,176.0,8.0,133.0,66.0,0.0,0.0,7.0,0.0,15370.0,16048.0
5/7/2017,66.0,76.0,53.0,15.0,0.0,50.0,0.0,0.0,10.0,0.0,9586.0,9856.0
5/8/2017,122.0,82.0,121.0,15.0,54.0,55.0,0.0,0.0,14.0,1.0,10323.0,10787.0
5/9/2017,90.0,73.0,82.0,14.0,80.0,50.0,0.0,0.0,12.0,2.0,9883.0,10286.0
5/10/2017,73.0,66.0,78.0,7.0,70.0,32.0,0.0,0.0,14.0,2.0,17355.0,17697.0
5/11/2017,117.0,64.0,118.0,16.0,86.0,48.0,0.0,0.0,11.0,5.0,11275.0,11740.0
5/12/2017,166.0,104.0,150.0,10.0,103.0,80.0,0.0,0.0,13.0,0.0,9516.0,10142.0
5/13/2017,93.0,56.0,83.0,9.0,75.0,30.0,0.0,0.0,3.0,1.0,6491.0,6841.0
5/14/2017,41.0,34.0,40.0,28.0,37.0,32.0,0.0,0.0,22.0,1.0,9611.0,9846.0
5/15/2017,85.0,76.0,63.0,17.0,68.0,73.0,0.0,0.0,6.0,1.0,8598.0,8987.0
5/16/2017,92.0,56.0,68.0,12.0,80.0,42.0,0.0,0.0,8.0,1.0,8903.0,9262.0
5/17/2017,75.0,47.0,86.0,18.0,50.0,30.0,0.0,0.0,6.0,1.0,8674.0,8987.0
5/18/2017,86.0,154.0,90.0,19.0,72.0,72.0,0.0,0.0,15.0,0.0,10330.0,10838.0
5/19/2017,45.0,27.0,27.0,11.0,31.0,28.0,0.0,0.0,9.0,1.0,8821.0,9000.0
5/20/2017,28.0,19.0,26.0,9.0,15.0,21.0,0.0,0.0,11.0,0.0,19303.0,19432.0
5/21/2017,22.0,33.0,28.0,30.0,30.0,20.0,0.0,0.0,6.0,0.0,9729.0,9898.0
5/22/2017,62.0,48.0,36.0,14.0,44.0,23.0,0.0,0.0,18.0,2.0,9851.0,10098.0
5/23/2017,25.0,25.0,32.0,14.0,32.0,22.0,0.0,0.0,19.0,2.0,10076.0,10247.0
5/24/2017,193.0,91.0,173.0,22.0,83.0,82.0,0.0,0.0,7.0,0.0,13058.0,13709.0
5/25/2017,87.0,61.0,62.0,17.0,41.0,47.0,0.0,0.0,23.0,0.0,16101.0,16439.0
5/26/2017,56.0,54.0,74.0,15.0,34.0,26.0,0.0,0.0,9.0,1.0,12750.0,13019.0
5/27/2017,69.0,56.0,66.0,24.0,67.0,49.0,0.0,0.0,16.0,1.0,11312.0,11660.0
5/28/2017,58.0,38.0,42.0,29.0,42.0,24.0,0.0,0.0,20.0,0.0,10224.0,10477.0
5/29/2017,61.0,42.0,38.0,29.0,32.0,30.0,0.0,0.0,28.0,0.0,11808.0,12068.0
5/30/2017,83.0,61.0,40.0,24.0,47.0,39.0,0.0,0.0,15.0,1.0,12518.0,12828.0
5/31/2017,82.0,48.0,60.0,22.0,63.0,30.0,0.0,0.0,20.0,1.0,13547.0,13873.0
6/1/2017,57.0,46.0,40.0,25.0,39.0,23.0,0.0,0.0,20.0,0.0,12121.0,12371.0
6/2/2017,30.0,33.0,60.0,33.0,31.0,21.0,0.0,0.0,19.0,0.0,15893.0,16120.0
6/3/2017,72.0,46.0,33.0,26.0,40.0,7.0,0.0,0.0,16.0,2.0,12024.0,12266.0
6/4/2017,29.0,32.0,19.0,25.0,13.0,24.0,0.0,0.0,29.0,1.0,24561.0,24733.0
6/5/2017,58.0,30.0,27.0,22.0,48.0,37.0,0.0,0.0,30.0,1.0,12688.0,12941.0
6/6/2017,49.0,54.0,68.0,33.0,41.0,29.0,0.0,0.0,18.0,4.0,11533.0,11829.0
6/7/2017,47.0,42.0,43.0,31.0,35.0,19.0,0.0,0.0,26.0,1.0,11687.0,11931.0
6/8/2017,24.0,22.0,25.0,27.0,26.0,25.0,0.0,0.0,15.0,1.0,16534.0,16699.0
6/9/2017,48.0,43.0,27.0,26.0,29.0,17.0,0.0,0.0,23.0,3.0,12731.0,12947.0
6/10/2017,52.0,33.0,38.0,24.0,25.0,29.0,0.0,0.0,13.0,0.0,23535.0,23749.0
6/11/2017,71.0,63.0,39.0,28.0,56.0,59.0,0.0,0.0,29.0,1.0,11300.0,11646.0
6/12/2017,27.0,44.0,34.0,20.0,33.0,44.0,0.0,0.0,19.0,2.0,11114.0,11337.0
6/13/2017,33.0,31.0,30.0,18.0,19.0,17.0,0.0,0.0,23.0,1.0,10887.0,11059.0
6/14/2017,63.0,62.0,45.0,17.0,37.0,24.0,0.0,0.0,20.0,2.0,10985.0,11255.0
6/15/2017,171.0,175.0,123.0,139.0,156.0,97.0,0.0,0.0,95.0,1.0,34623.0,35580.0
6/16/2017,212.0,176.0,148.0,464.0,164.0,106.0,0.0,0.0,364.0,4.0,37906.0,39544.0
6/17/2017,189.0,155.0,136.0,249.0,166.0,107.0,0.0,0.0,185.0,1.0,28122.0,29310.0
6/18/2017,211.0,212.0,133.0,232.0,214.0,157.0,0.0,0.0,170.0,3.0,25690.0,27022.0
6/19/2017,197.0,179.0,150.0,111.0,183.0,79.0,0.0,0.0,93.0,4.0,16746.0,17742.0
6/20/2017,45.0,34.0,32.0,13.0,29.0,34.0,0.0,0.0,20.0,3.0,9507.0,9717.0
6/21/2017,15.0,11.0,21.0,25.0,14.0,13.0,0.0,0.0,30.0,1.0,20920.0,21050.0
6/22/2017,22.0,20.0,9.0,29.0,15.0,17.0,0.0,0.0,25.0,1.0,21036.0,21174.0
6/23/2017,27.0,37.0,31.0,36.0,40.0,45.0,0.0,0.0,16.0,0.0,16118.0,16350.0
6/24/2017,43.0,31.0,28.0,14.0,30.0,29.0,0.0,0.0,14.0,0.0,31306.0,31495.0
6/25/2017,17.0,19.0,11.0,19.0,17.0,12.0,0.0,0.0,16.0,2.0,15297.0,15410.0
6/26/2017,15.0,3.0,12.0,19.0,4.0,10.0,0.0,0.0,21.0,2.0,11153.0,11239.0
6/27/2017,21.0,3.0,12.0,21.0,3.0,29.0,0.0,0.0,16.0,0.0,11205.0,11310.0
6/28/2017,17.0,9.0,14.0,19.0,4.0,20.0,0.0,0.0,21.0,2.0,13725.0,13831.0
6/29/2017,14.0,22.0,12.0,16.0,18.0,18.0,0.0,0.0,9.0,1.0,12156.0,12266.0
6/30/2017,20.0,22.0,13.0,26.0,4.0,9.0,0.0,0.0,22.0,0.0,12409.0,12525.0
7/1/2017,5.0,23.0,0.0,15.0,22.0,1.0,0.0,0.0,11.0,0.0,11370.0,11447.0
7/2/2017,9.0,6.0,7.0,11.0,10.0,4.0,0.0,0.0,7.0,0.0,9767.0,9821.0
7/3/2017,6.0,43.0,6.0,15.0,9.0,15.0,0.0,0.0,13.0,1.0,11180.0,11288.0
7/4/2017,4.0,7.0,8.0,20.0,1.0,3.0,0.0,0.0,17.0,0.0,11573.0,11633.0
7/5/2017,16.0,8.0,5.0,17.0,8.0,8.0,0.0,0.0,13.0,0.0,12995.0,13070.0
7/6/2017,2.0,0.0,3.0,12.0,2.0,4.0,0.0,0.0,15.0,0.0,11659.0,11697.0
7/7/2017,7.0,11.0,3.0,16.0,9.0,6.0,0.0,0.0,9.0,0.0,11326.0,11387.0
7/8/2017,2.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,17.0,0.0,10895.0,10928.0
7/9/2017,1.0,0.0,2.0,7.0,3.0,0.0,0.0,0.0,10.0,0.0,8765.0,8788.0
7/10/2017,2.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0,1.0,10565.0,10587.0
7/11/2017,22.0,2.0,10.0,13.0,18.0,11.0,0.0,0.0,13.0,0.0,10699.0,10788.0
7/12/2017,28.0,9.0,25.0,17.0,0.0,8.0,0.0,0.0,13.0,0.0,10493.0,10593.0
7/13/2017,95.0,15.0,51.0,18.0,15.0,0.0,0.0,0.0,19.0,0.0,22494.0,22707.0
7/14/2017,56.0,13.0,31.0,22.0,5.0,3.0,0.0,0.0,27.0,0.0,14935.0,15092.0
7/15/2017,22.0,4.0,12.0,19.0,14.0,6.0,0.0,0.0,17.0,1.0,19227.0,19322.0
7/16/2017,28.0,17.0,10.0,24.0,26.0,5.0,0.0,0.0,18.0,1.0,19947.0,20076.0
7/17/2017,25.0,41.0,14.0,16.0,21.0,22.0,0.0,0.0,10.0,0.0,24570.0,24719.0
7/18/2017,48.0,49.0,9.0,18.0,42.0,29.0,0.0,0.0,13.0,0.0,19262.0,19470.0
7/19/2017,12.0,79.0,22.0,22.0,61.0,67.0,0.0,0.0,8.0,3.0,14636.0,14910.0
